index,term,TF,IDF,TF-IDF
618,ajena,0.000052,1.871802,0.000097
619,ajenas,0.000039,1.871802,0.000072
620,ajeno,0.000026,1.871802,0.000048
621,ajenos,0.000019,1.871802,0.000036
622,ajorcas,0.000013,1.871802,0.000024
623,ajusta,0.000006,1.871802,0.000012
624,ajustara,0.000006,1.871802,0.000012
625,al,0.005376,1.871802,0.010064
626,ala,0.000090,1.871802,0.000169
627,alaba,0.000013,1.871802,0.000024
628,alababa,0.000013,1.871802,0.000024
629,alabado,0.000019,1.871802,0.000036
630,alaban,0.000006,1.871802,0.000012
631,alabando,0.000006,1.871802,0.000012
632,alabanza,0.000058,1.871802,0.000109
633,alabanzas,0.000084,1.871802,0.000157
634,alabar,0.000019,1.871802,0.000036
635,alabastro,0.000013,1.871802,0.000024
636,alabe,0.000006,1.871802,0.000012
637,alabo,0.000026,1.871802,0.000048
638,alada,0.000006,1.871802,0.000012
639,aladas,0.000006,1.871802,0.000012
640,alado,0.000006,1.871802,0.000012
641,alados,0.000006,1.871802,0.000012
642,alagones,0.000006,1.871802,0.000012
